ID,Sample,District,Division,Site,Station,Day,Month,Gene,Ct Value,Copy Number,Viral Load ,Region
71,Sample-71,Comilla,Chittagong,Drainage,Isolation Center Drain Effluent,12/11/2020,Jamuna,ORF1ab,36.8,1.17E+03,7.00E+05,Jamuna
72,Sample-72,Comilla,Chittagong,Drainage,Sadar Hospital Drain Effluent,12/11/2020,Jamuna,ORF1ab,37.48,9.45E+02,5.67E+05,Jamuna
75,Sample-75,Comilla,Chittagong,Drainage,City Drain Effluent,12/11/2020,Jamuna,ORF1ab,37.4,9.71E+02,5.83E+05,Jamuna
251,Sample-71,Comilla,Chittagong,Drainage,Isolation Center Drain Effluent,12/11/2020,Jamuna,N,41.85,1.93E+02,1.12E+05,Jamuna
252,Sample-72,Comilla,Chittagong,Drainage,Sadar Hospital Drain Effluent,12/11/2020,Jamuna,N,35.56,2.88E+03,1.73E+06,Jamuna
255,Sample-75,Comilla,Chittagong,Drainage,City Drain Effluent,12/11/2020,Jamuna,N,39.48,2.90E+02,1.74E+05,Jamuna
26,Sample-26,Gaibandha,Rangpur,Drainage,Isolation Center Drain Effluent,12/5/2020,Jamuna,ORF1ab,41.9,1.11E+02,1.44E+05,Jamuna
27,Sample-27,Gaibandha,Rangpur,Drainage,Sadar Hospital Drain Effluent,12/5/2020,Jamuna,ORF1ab,32.08,2.53E+04,1.52E+07,Jamuna
30,Sample-30,Gaibandha,Rangpur,Drainage,City Drain Effluent,12/5/2020,Jamuna,ORF1ab,34.48,4.94E+03,2.96E+06,Jamuna
206,Sample-26,Gaibandha,Rangpur,Drainage,Isolation Center Drain Effluent,12/5/2020,Jamuna,N,34.48,4.94E+03,2.96E+06,Jamuna
207,Sample-27,Gaibandha,Rangpur,Drainage,Sadar Hospital Drain Effluent,12/5/2020,Jamuna,N,36.8,1.17E+03,7.00E+05,Jamuna
210,Sample-30,Gaibandha,Rangpur,Drainage,City Drain Effluent,12/5/2020,Jamuna,N,37.4,9.71E+02,5.83E+05,Jamuna
14,Sample-14,Rajshahi,Rajshahi,Drainage,Isolation Center Drain Effluent,12/3/2020,Jamuna,ORF1ab,36.49,1.10E+03,6.61E+05,Jamuna
15,Sample-15,Rajshahi,Rajshahi,Drainage,Sadar Hospital Drain Effluent,12/3/2020,Jamuna,ORF1ab,38.2,7.09E+02,4.26E+05,Jamuna
18,Sample-18,Rajshahi,Rajshahi,Drainage,City Drain Effluent,12/3/2020,Jamuna,ORF1ab,41.76,1.22E+02,1.06E+05,Jamuna
194,Sample-14,Rajshahi,Rajshahi,Drainage,Isolation Center Drain Effluent,12/3/2020,Jamuna,N,41.85,1.93E+02,1.19E+05,Jamuna
195,Sample-15,Rajshahi,Rajshahi,Drainage,Sadar Hospital Drain Effluent,12/3/2020,Jamuna,N,36.4,1.27E+03,7.64E+05,Jamuna
198,Sample-18,Rajshahi,Rajshahi,Drainage,City Drain Effluent,12/3/2020,Jamuna,N,41.76,1.40E+02,1.44E+05,Jamuna
20,Sample-20,Rangpur,Rangpur,Drainage,Isolation Center Drain Effluent,12/4/2020,Jamuna,ORF1ab,36.05,1.94E+03,1.16E+06,Jamuna
21,Sample-21,Rangpur,Rangpur,Drainage,Sadar Hospital Drain Effluent,12/4/2020,Jamuna,ORF1ab,37.65,8.89E+02,5.34E+05,Jamuna
24,Sample-24,Rangpur,Rangpur,Drainage,City Drain Effluent,12/4/2020,Jamuna,ORF1ab,27.15,9.93E+04,5.96E+07,Jamuna
200,Sample-20,Rangpur,Rangpur,Drainage,Isolation Center Drain Effluent,12/4/2020,Jamuna,N,29.5,6.40E+04,3.84E+07,Jamuna
201,Sample-21,Rangpur,Rangpur,Drainage,Sadar Hospital Drain Effluent,12/4/2020,Jamuna,N,40.95,1.84E+02,1.20E+05,Jamuna
204,Sample-24,Rangpur,Rangpur,Drainage,City Drain Effluent,12/4/2020,Jamuna,N,41.51,1.11E+02,1.26E+05,Jamuna
28,Sample-28,Gaibandha,Rangpur,NDrainage,Market Place,12/5/2020,Jamuna,ORF1ab,30.69,4.62E+04,2.77E+07,Jamuna
29,Sample-29,Gaibandha,Rangpur,NDrainage,Communal Pond/River,12/5/2020,Jamuna,ORF1ab,34.48,4.94E+03,2.96E+06,Jamuna
31,Sample-31,Gaibandha,Rangpur,NDrainage,Bus Stand/ Rail station ,12/5/2020,Jamuna,ORF1ab,41.85,1.52E+02,1.11E+05,Jamuna
208,Sample-28,Gaibandha,Rangpur,NDrainage,Market Place,12/5/2020,Jamuna,N,30.72,4.57E+04,2.74E+07,Jamuna
209,Sample-29,Gaibandha,Rangpur,NDrainage,Communal Pond/River,12/5/2020,Jamuna,N,41.77,1.52E+02,1.22E+05,Jamuna
211,Sample-31,Gaibandha,Rangpur,NDrainage,Bus Stand/ Rail station ,12/5/2020,Jamuna,N,37.23,1.03E+03,6.16E+05,Jamuna
16,Sample-16,Rajshahi,Rajshahi,NDrainage,Market Place,12/3/2020,Jamuna,ORF1ab,37.03,1.09E+03,6.55E+05,Jamuna
17,Sample-17,Rajshahi,Rajshahi,NDrainage,Bus Stand/ Rail station ,12/3/2020,Jamuna,ORF1ab,38.95,4.64E+02,2.78E+05,Jamuna
19,Sample-19,Rajshahi,Rajshahi,NDrainage,Communal Pond/River,12/3/2020,Jamuna,ORF1ab,35.5,2.99E+03,1.79E+06,Jamuna
196,Sample-16,Rajshahi,Rajshahi,NDrainage,Market Place,12/3/2020,Jamuna,N,41.9,1.07E+02,1.06E+05,Jamuna
197,Sample-17,Rajshahi,Rajshahi,NDrainage,Bus Stand/ Rail station ,12/3/2020,Jamuna,N,34.43,5.03E+03,3.02E+06,Jamuna
199,Sample-19,Rajshahi,Rajshahi,NDrainage,Communal Pond/River,12/3/2020,Jamuna,N,33.17,8.95E+03,5.37E+06,Jamuna
22,Sample-22,Rangpur,Rangpur,NDrainage,Market Place,12/4/2020,Jamuna,ORF1ab,32.91,1.29E+04,7.71E+06,Jamuna
23,Sample-23,Rangpur,Rangpur,NDrainage,Bus Stand/ Rail station ,12/4/2020,Jamuna,ORF1ab,34.75,4.42E+03,2.65E+06,Jamuna
25,Sample-25,Rangpur,Rangpur,NDrainage,Communal Pond/River,12/4/2020,Jamuna,ORF1ab,39.04,4.34E+02,2.61E+05,Jamuna
202,Sample-22,Rangpur,Rangpur,NDrainage,Market Place,12/4/2020,Jamuna,N,37.6,9.06E+02,5.43E+05,Jamuna
203,Sample-23,Rangpur,Rangpur,NDrainage,Bus Stand/ Rail station ,12/4/2020,Jamuna,N,34.41,5.07E+03,3.04E+06,Jamuna
205,Sample-25,Rangpur,Rangpur,NDrainage,Communal Pond/River,12/4/2020,Jamuna,N,41.71,1.95E+02,1.11E+05,Jamuna
50,Sample-50,Barisal,Barisal,Drainage,Isolation Center Drain Effluent,12/7/2020,Jamuna,ORF1ab,33.2,8.50E+03,5.10E+06,Jamuna
51,Sample-51,Barisal,Barisal,Drainage,Sadar Hospital Drain Effluent,12/7/2020,Jamuna,ORF1ab,37.4,9.71E+02,5.83E+05,Jamuna
54,Sample-54,Barisal,Barisal,Drainage,City Drain Effluent,12/7/2020,Jamuna,ORF1ab,35.4,3.18E+03,1.91E+06,Meghna
230,Sample-50,Barisal,Barisal,Drainage,Isolation Center Drain Effluent,12/7/2020,Jamuna,N,32.6,1.63E+02,1.26E+05,Meghna
231,Sample-51,Barisal,Barisal,Drainage,Sadar Hospital Drain Effluent,12/7/2020,Jamuna,N,35.21,3.54E+03,2.13E+06,Meghna
234,Sample-54,Barisal,Barisal,Drainage,City Drain Effluent,12/7/2020,Jamuna,N,32.14,2.44E+04,1.46E+07,Meghna
56,Sample-56,Chittagong,Chittagong,Drainage,Isolation Center Drain Effluent,12/8/2020,Jamuna,ORF1ab,26.14,1.14E+05,6.86E+07,Meghna
57,Sample-57,Chittagong,Chittagong,Drainage,Sadar Hospital Drain Effluent,12/8/2020,Jamuna,ORF1ab,34.83,4.27E+03,2.56E+06,Meghna
60,Sample-60,Chittagong,Chittagong,Drainage,City Drain Effluent,12/8/2020,Jamuna,ORF1ab,34.43,5.03E+03,3.02E+06,Meghna
236,Sample-56,Chittagong,Chittagong,Drainage,Isolation Center Drain Effluent,12/8/2020,Jamuna,N,26.28,1.12E+05,6.74E+07,Meghna
237,Sample-57,Chittagong,Chittagong,Drainage,Sadar Hospital Drain Effluent,12/8/2020,Jamuna,N,41.85,1.95E+02,1.11E+05,Meghna
240,Sample-60,Chittagong,Chittagong,Drainage,City Drain Effluent,12/8/2020,Jamuna,N,37.11,1.07E+03,6.40E+05,Meghna
66,Sample-66,Cox's Bazar ,Chittagong,Drainage,Isolation Center Drain Effluent,12/10/2020,Jamuna,ORF1ab,33.36,6.10E+03,3.66E+06,Meghna
67,Sample-67,Cox's Bazar ,Chittagong,Drainage,Sadar Hospital Drain Effluent,12/10/2020,Jamuna,ORF1ab,41.71,1.11E+02,1.11E+05,Meghna
70,Sample-70,Cox's Bazar ,Chittagong,Drainage,City Drain Effluent,12/10/2020,Jamuna,ORF1ab,34.32,5.24E+03,3.15E+06,Meghna
246,Sample-66,Cox's Bazar ,Chittagong,Drainage,Isolation Center Drain Effluent,12/10/2020,Jamuna,N,37.4,9.71E+02,5.83E+05,Meghna
247,Sample-67,Cox's Bazar ,Chittagong,Drainage,Sadar Hospital Drain Effluent,12/10/2020,Jamuna,N,37.48,9.45E+02,5.67E+05,Meghna
250,Sample-70,Cox's Bazar ,Chittagong,Drainage,City Drain Effluent,12/10/2020,Jamuna,N,41.71,1.40E+02,1.22E+05,Meghna
61,Sample-61,Khulna,Khulna,Drainage,Isolation Center Drain Effluent,12/9/2020,Jamuna,ORF1ab,34.35,5.19E+03,3.11E+06,Meghna
62,Sample-62,Khulna,Khulna,Drainage,Sadar Hospital Drain Effluent,12/9/2020,Jamuna,ORF1ab,37.33,9.94E+02,5.96E+05,Meghna
65,Sample-65,Khulna,Khulna,Drainage,City Drain Effluent,12/9/2020,Jamuna,ORF1ab,41.62,1.63E+02,1.35E+05,Meghna
241,Sample-61,Khulna,Khulna,Drainage,Isolation Center Drain Effluent,12/9/2020,Jamuna,N,35.17,3.62E+03,2.17E+06,Meghna
242,Sample-62,Khulna,Khulna,Drainage,Sadar Hospital Drain Effluent,12/9/2020,Jamuna,N,38.75,5.29E+02,3.18E+05,Meghna
245,Sample-65,Khulna,Khulna,Drainage,City Drain Effluent,12/9/2020,Jamuna,N,36.2,1.65E+03,9.93E+05,Meghna
52,Sample-52,Barisal,Barisal,NDrainage,Market Place,12/7/2020,Jamuna,ORF1ab,41.76,1.84E+02,1.44E+05,Meghna
53,Sample-53,Barisal,Barisal,NDrainage,Communal Pond/River,12/7/2020,Jamuna,ORF1ab,41.77,1.52E+02,1.15E+05,Meghna
55,Sample-55,Barisal,Barisal,NDrainage,Bus Stand/ Rail station ,12/7/2020,Jamuna,ORF1ab,41.85,1.31E+02,1.22E+05,Meghna
232,Sample-52,Barisal,Barisal,NDrainage,Market Place,12/7/2020,Jamuna,N,32.45,1.98E+04,1.19E+07,Meghna
233,Sample-53,Barisal,Barisal,NDrainage,Communal Pond/River,12/7/2020,Jamuna,N,36.34,1.39E+03,8.32E+05,Meghna
235,Sample-55,Barisal,Barisal,NDrainage,Bus Stand/ Rail station ,12/7/2020,Jamuna,N,41.77,1.22E+02,1.20E+05,Meghna
58,Sample-58,Chittagong,Chittagong,NDrainage,Market Place,12/8/2020,Jamuna,ORF1ab,32.72,1.57E+04,9.42E+06,Meghna
59,Sample-59,Chittagong,Chittagong,NDrainage,Communal Pond/River,12/8/2020,Jamuna,ORF1ab,41.62,1.22E+02,1.06E+05,Meghna
238,Sample-58,Chittagong,Chittagong,NDrainage,Market Place,12/8/2020,Jamuna,N,41.9,1.84E+02,1.06E+05,Meghna
239,Sample-59,Chittagong,Chittagong,NDrainage,Communal Pond/River,12/8/2020,Jamuna,N,34.62,4.67E+03,2.80E+06,Meghna
68,Sample-68,Cox's Bazar ,Chittagong,NDrainage,Market Place,12/10/2020,Jamuna,ORF1ab,41.76,1.52E+02,1.26E+05,Meghna
69,Sample-69,Cox's Bazar ,Chittagong,NDrainage,Communal Pond/River,12/10/2020,Jamuna,ORF1ab,41.9,1.04E+02,1.20E+05,Meghna
248,Sample-68,Cox's Bazar ,Chittagong,NDrainage,Market Place,12/10/2020,Jamuna,N,41.14,1.04E+02,1.26E+05,Meghna
249,Sample-69,Cox's Bazar ,Chittagong,NDrainage,Communal Pond/River,12/10/2020,Jamuna,N,37.8,8.40E+02,5.04E+05,Meghna
63,Sample-63,Khulna,Khulna,NDrainage,Market Place,12/9/2020,Jamuna,ORF1ab,34.32,5.24E+03,3.15E+06,Meghna
64,Sample-64,Khulna,Khulna,NDrainage,Communal Pond/River,12/9/2020,Jamuna,ORF1ab,37.68,8.79E+02,5.28E+05,Meghna
243,Sample-63,Khulna,Khulna,NDrainage,Market Place,12/9/2020,Jamuna,N,40.95,1.52E+02,1.35E+05,Meghna
244,Sample-64,Khulna,Khulna,NDrainage,Communal Pond/River,12/9/2020,Jamuna,N,41.76,1.52E+02,1.44E+05,Meghna
81,Sample-111,Brahmobaria,Chittagong,Drainage,Isolation Center Drain Effluent,12/14/2020,Jamuna,ORF1ab,37.38,9.78E+02,5.87E+05,Meghna
