Division,Gene,Ct
Mymensing,Cy5(2),
Sylhet,Cy5(2),38.43
Rajshahi,Cy5(2),
Rangpur,Cy5(2),
Gaibandha,Cy5(2),
Barisal,Cy5(2),39.4
Chittagong,Cy5(2),
Khulna,Cy5(2),38.76
Cox's Bazar ,Cy5(2),
Comilla,Cy5(2),
Kishorgonj,Cy5(2),35.76
Brahmonbaria,Cy5(2),
Habigonj,Cy5(2),
Mymensing,FAM(2),35.7
Sylhet,FAM(2),37.22
Rajshahi,FAM(2),38.39
Rangpur,FAM(2),38.73
Gaibandha,FAM(2),38.32
Barisal,FAM(2),38.4
Chittagong,FAM(2),
Khulna,FAM(2),39.6
Cox's Bazar ,FAM(2),32.21
Comilla,FAM(2),
Kishorgonj,FAM(2),
Brahmonbaria,FAM(2),37.79
Habigonj,FAM(2),33.9
Mymensing,Rox(2),37.33
Sylhet,Rox(2),38.42
Rajshahi,Rox(2),
Rangpur,Rox(2),39.33
Gaibandha,Rox(2),
Barisal,Rox(2),
Chittagong,Rox(2),33.21
Khulna,Rox(2),
Cox's Bazar ,Rox(2),
Comilla,Rox(2),34.4
Kishorgonj,Rox(2),36.74
Brahmonbaria,Rox(2),
Habigonj,Rox(2),
