Ct,Gene,Division
,Cy5(1),Mymensing
,Cy5(1),Mymensing
,Cy5(1),Mymensing
36.79,Cy5(1),Mymensing
,Cy5(1),Mymensing
35.58,Cy5(1),Mymensing
,Cy5(1),Mymensing
37.09,Cy5(1),Sylhet
,Cy5(1),Sylhet
,Cy5(1),Sylhet
,Cy5(1),Sylhet
37.62,Cy5(1),Sylhet
,Cy5(1),Sylhet
,Cy5(1),Sylhet
36.29,Cy5(1),Sylhet
,Cy5(1),Sylhet
,Cy5(1),Rajshahi
,Cy5(1),Rajshahi
35.57,Cy5(1),Rajshahi
,Cy5(1),Rajshahi
35.57,Cy5(1),Rajshahi
,Cy5(1),Rajshahi
,Cy5(1),Rajshahi
,Cy5(1),Rajshahi
,Cy5(1),Rajshahi
,Cy5(1),Rangpur
,Cy5(1),Rangpur
,Cy5(1),Rangpur
35.69,Cy5(1),Rangpur
,Cy5(1),Rangpur
,Cy5(1),Rangpur
,Cy5(1),Rangpur
,Cy5(1),Rangpur
,Cy5(1),Rangpur
25.45,Cy5(1),Rangpur
38.96,Cy5(1),Rangpur
35.48,Cy5(1),Rangpur
38.73,Cy5(1),Rangpur
38.37,Cy5(1),Rangpur
34.48,Cy5(1),Rangpur
,Cy5(1),Rangpur
,Cy5(1),Rangpur
,Cy5(1),Rangpur
38.44,Cy5(1),Dhaka
37.24,Cy5(1),Dhaka
36.21,Cy5(1),Dhaka
,Cy5(1),Dhaka
34.74,Cy5(1),Dhaka
35.81,Cy5(1),Dhaka
,Cy5(1),Dhaka
32.31,Cy5(1),Dhaka
,Cy5(1),Dhaka
32.57,Cy5(1),Dhaka
31.17,Cy5(1),Dhaka
30.72,Cy5(1),Dhaka
,Cy5(1),Dhaka
38.04,Cy5(1),Dhaka
,Cy5(1),Dhaka
,Cy5(1),Dhaka
31.31,Cy5(1),Dhaka
,Cy5(1),Dhaka
35.4,Cy5(1),Barisal
39.48,Cy5(1),Barisal
36,Cy5(1),Barisal
37.56,Cy5(1),Barisal
37.5,Cy5(1),Barisal
38.56,Cy5(1),Barisal
,Cy5(1),Barisal
,Cy5(1),Barisal
,Cy5(1),Barisal
32.28,Cy5(1),Chittagong
28.18,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
37.21,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
36.13,Cy5(1),Khulna
,Cy5(1),Khulna
37.94,Cy5(1),Khulna
38.6,Cy5(1),Khulna
32.6,Cy5(1),Khulna
,Cy5(1),Khulna
,Cy5(1),Khulna
,Cy5(1),Khulna
,Cy5(1),Khulna
34.72,Cy5(1),Chittagong
38.4,Cy5(1),Chittagong
,Cy5(1),Chittagong
36.7,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
34.13,Cy5(1),Chittagong
32.52,Cy5(1),Chittagong
32.49,Cy5(1),Chittagong
38.47,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
37.28,Cy5(1),Dhaka
37.58,Cy5(1),Dhaka
36.49,Cy5(1),Dhaka
39.28,Cy5(1),Dhaka
36.01,Cy5(1),Dhaka
,Cy5(1),Dhaka
,Cy5(1),Dhaka
,Cy5(1),Dhaka
,Cy5(1),Dhaka
38.1,Cy5(1),Chittagong
,Cy5(1),Chittagong
38.43,Cy5(1),Chittagong
38.3,Cy5(1),Chittagong
37.67,Cy5(1),Chittagong
36.74,Cy5(1),Chittagong
37.74,Cy5(1),Chittagong
37.54,Cy5(1),Chittagong
36.31,Cy5(1),Chittagong
38.61,Cy5(1),Chittagong
,Cy5(1),Chittagong
39.31,Cy5(1),Chittagong
,Cy5(1),Chittagong
36.97,Cy5(1),Chittagong
36.37,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
36.29,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
32.27,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
34.58,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
37.38,Cy5(1),Chittagong
35.15,Cy5(1),Chittagong
37.52,Cy5(1),Chittagong
39.12,Cy5(1),Chittagong
,Cy5(1),Chittagong
27.88,Cy5(1),Chittagong
38.49,Cy5(1),Chittagong
37.8,Cy5(1),Chittagong
,Cy5(1),Chittagong
34.32,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
35.58,Cy5(1),Chittagong
37.39,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
,Cy5(1),Chittagong
36.29,Cy5(1),Sylhet
,Cy5(1),Sylhet
,Cy5(1),Sylhet
,Cy5(1),Sylhet
35.57,Cy5(1),Sylhet
,Cy5(1),Sylhet
,Cy5(1),Sylhet
,Cy5(1),Sylhet
,Cy5(1),Sylhet
,FAM(1),Mymensing
37.12,FAM(1),Mymensing
,FAM(1),Mymensing
,FAM(1),Mymensing
,FAM(1),Mymensing
36.41,FAM(1),Mymensing
36.12,FAM(1),Mymensing
37.21,FAM(1),Sylhet
36.12,FAM(1),Sylhet
34.13,FAM(1),Sylhet
,FAM(1),Sylhet
29.56,FAM(1),Sylhet
