Sample Number,Dhaka_Cox,Division,Ph,Temperature,Characteristics,Characteristics,Latitute_Longitude,District,Source,Cy5(1),FAM(1),Rox(1),District,Source,Cy5(2),FAM(2),Rox(2)
Sample-1,,Mymensing,6.9,,,,,Mymensing,Isolation Center Drain Effluent,,,34.35,Mymensing,Isolation Center Drain Effluent,,33.65,32.13
Sample-2,,Mymensing,6.8,30.1,,,,Mymensing,Sadar Hospital Drain Effluent,,37.12,35.47,Mymensing,Sadar Hospital Drain Effluent,35.44,34.32,33.67
Sample-3,,Mymensing,6.9,28.5,,,,Mymensing,Medical College Drain Wastage,,,34.1,Mymensing,Medical College Drain Wastage,,36.35,33.68
Sample-4,,Mymensing,7.8,29.5,,,,Mymensing,Community Drain Effluent,36.79,,,Mymensing,Community Drain Effluent,,,37.44
Sample-5,,Mymensing,6.8,32.6,,,,Mymensing,City Drain Effluent,,,,Mymensing,City Drain Effluent,,35.7,37.33
Sample-6,,Mymensing,7.5,30.1,,,,Mymensing,Bus Stand Drain Effluent,35.58,36.41,37.92,Mymensing,Bus Stand Drain Effluent,36.52,35.44,36.22
Sample-8,,Mymensing,7.2,29.9,,,,Mymensing,Pond/River,,36.12,,Mymensing,Pond/River,,37.46,35.45
Sample-10,,Sylhet,6.7,30.2,,,,Sylhet,Isolation Center Drain Effluent,37.09,37.21,,Sylhet,Isolation Center Drain Effluent,36.42,35.53,35.64
Sample-11,,Sylhet,6.8,29.8,,,,Sylhet,Sadar Hospital Drain Effluent,,36.12,37.36,Sylhet,Sadar Hospital Drain Effluent,,37.37,36.34
Sample-12,,Sylhet,6.9,27.9,,,,Sylhet,Medical College Drain Wastage,,34.13,36.54,Sylhet,Medical College Drain Wastage,37.32,35.34,37.32
Sample-13,,Sylhet,8.2,28.4,,,,Sylhet,Community Drain Effluent,,,34.72,Sylhet,Community Drain Effluent,,37.23,36.34
Sample-14,,Sylhet,6.5,23.01,,,,Sylhet,City Drain Effluent,37.62,29.56,33.22,Sylhet,City Drain Effluent,38.43,37.22,38.42
Sample-15,,Sylhet,,,,,,Sylhet,Bus Stand Drain Effluent,,,,Sylhet,Bus Stand Drain Effluent,,,
Sample-16,,Sylhet,,,,,,Sylhet,Rail Station Drain Effluent,,,,Sylhet,Rail Station Drain Effluent,,,
Sample-17,,Sylhet,6.7,29.8,,,,Sylhet,Pond/River,36.29,38.81,36.7,Sylhet,Pond/River,38.4,36.53,
Sample-18,,Sylhet,,,,,,Sylhet,Prison Drain Effluent,,,,Sylhet,Prison Drain Effluent,,,
Sample-19,,Rajshahi,6.8,29.8,,,,Rajshahi,Isolation Center Drain Effluent,,36.49,34.13,Rajshahi,Isolation Center Drain Effluent,37.12,35.44,37.84
Sample-20,,Rajshahi,6.7,31.4,,,,Rajshahi,Sadar Hospital Drain Effluent,,38.2,36.4,Rajshahi,Sadar Hospital Drain Effluent,,36.42,39.23
Sample-21,,Rajshahi,6.6,31.4,,,,Rajshahi,Medical College Drain Wastage,35.57,37.03,,Rajshahi,Medical College Drain Wastage,38.87,37.76,36.32
Sample-22,,Rajshahi,7.5,31.6,,,,Rajshahi,Community Drain Effluent,,38.95,34.43,Rajshahi,Community Drain Effluent,,,38.64
Sample-23,,Rajshahi,7.6,29.5,,,,Rajshahi,City Drain Effluent,35.57,,,Rajshahi,City Drain Effluent,,38.39,
Sample-24,,Rajshahi,,,,,,Rajshahi,Bus Stand Drain Effluent,,,,Rajshahi,Bus Stand Drain Effluent,,,
