Ct,Gene,Division
,IC,Mymensing
35.44,IC,Mymensing
,IC,Mymensing
,IC,Mymensing
,IC,Mymensing
36.52,IC,Mymensing
,IC,Mymensing
36.42,IC,Sylhet
,IC,Sylhet
37.32,IC,Sylhet
,IC,Sylhet
38.43,IC,Sylhet
,IC,Sylhet
,IC,Sylhet
38.4,IC,Sylhet
,IC,Sylhet
37.12,IC,Rajshahi
,IC,Rajshahi
38.87,IC,Rajshahi
,IC,Rajshahi
,IC,Rajshahi
,IC,Rajshahi
,IC,Rajshahi
,IC,Rajshahi
37.61,IC,Rajshahi
,IC,Rangpur
,IC,Rangpur
38.28,IC,Rangpur
38.63,IC,Rangpur
,IC,Rangpur
,IC,Rangpur
,IC,Rangpur
,IC,Rangpur
,IC,Rangpur
,IC,Rangpur
,IC,Rangpur
38.65,IC,Rangpur
,IC,Rangpur
,IC,Rangpur
,IC,Rangpur
,IC,Rangpur
,IC,Rangpur
,IC,Rangpur
37.42,IC,Dhaka
,IC,Dhaka
,IC,Dhaka
37.6,IC,Dhaka
38.51,IC,Dhaka
35,IC,Dhaka
35.65,IC,Dhaka
,IC,Dhaka
39.7,IC,Dhaka
,IC,Dhaka
34,IC,Dhaka
36.73,IC,Dhaka
,IC,Dhaka
31.87,IC,Dhaka
38.51,IC,Dhaka
,IC,Dhaka
,IC,Dhaka
,IC,Dhaka
36.24,IC,Barisal
,IC,Barisal
37,IC,Barisal
36.3,IC,Barisal
39.4,IC,Barisal
,IC,Barisal
,IC,Barisal
,IC,Barisal
,IC,Barisal
38.2,IC,Chittagong
,IC,Chittagong
36.32,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
37.56,IC,Khulna
,IC,Khulna
,IC,Khulna
34.5,IC,Khulna
38.76,IC,Khulna
,IC,Khulna
,IC,Khulna
,IC,Khulna
,IC,Khulna
33.14,IC,Chittagong
36.31,IC,Chittagong
,IC,Chittagong
35.21,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
37.46,IC,Chittagong
37,IC,Chittagong
37.83,IC,Chittagong
37.54,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
36.7,IC,Dhaka
,IC,Dhaka
,IC,Dhaka
33.45,IC,Dhaka
35.76,IC,Dhaka
,IC,Dhaka
,IC,Dhaka
,IC,Dhaka
,IC,Dhaka
35.21,IC,Chittagong
,IC,Chittagong
38.54,IC,Chittagong
37.12,IC,Chittagong
38.31,IC,Chittagong
38.32,IC,Chittagong
36.51,IC,Chittagong
38.23,IC,Chittagong
36.11,IC,Chittagong
36.42,IC,Chittagong
38.41,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
36.43,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
34.7,IC,Chittagong
31.53,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
36.8,IC,Chittagong
36.8,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
36.41,IC,Chittagong
36.31,IC,Chittagong
35.71,IC,Chittagong
,IC,Chittagong
36.12,IC,Chittagong
36.7,IC,Chittagong
,IC,Chittagong
38.51,IC,Chittagong
37.5,IC,Chittagong
,IC,Chittagong
37.8,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
,IC,Chittagong
37.53,IC,Sylhet
,IC,Sylhet
,IC,Sylhet
37.65,IC,Sylhet
,IC,Sylhet
,IC,Sylhet
,IC,Sylhet
,IC,Sylhet
,IC,Sylhet
33.65,ORF1ab,Mymensing
34.32,ORF1ab,Mymensing
36.35,ORF1ab,Mymensing
,ORF1ab,Mymensing
35.7,ORF1ab,Mymensing
35.44,ORF1ab,Mymensing
37.46,ORF1ab,Mymensing
35.53,ORF1ab,Sylhet
37.37,ORF1ab,Sylhet
35.34,ORF1ab,Sylhet
