Station,Gene,Ct
Mohammadpur 1,IC,38.44
Mohammadpur 2,IC,37.24
Mohammadpur 3,IC,36.21
Mirpur Slum 1,IC,
Mirpur Slum 2,IC,34.74
Mirpur Slum 3,IC,35.81
korail slum 1,IC,
korail slum 2,IC,32.31
korail slum 3,IC,
Kurmitola General Hospital,IC,32.57
Kurmitola General Hospital,IC,31.17
Kurmitola General Hospital,IC,30.72
Mugdha Medical College and Hospital,IC,
Mugdha Medical College and Hospital,IC,38.04
Mugdha Medical College and Hospital,IC,
Kuwait Moitri Hospital,IC,
kuwait Moitri Hospital,IC,31.31
kuwait Moitri Hospital,IC,
Mohammadpur 1,ORF1ab,36.08
Mohammadpur 2,ORF1ab,
Mohammadpur 3,ORF1ab,34.43
Mirpur Slum 1,ORF1ab,
Mirpur Slum 2,ORF1ab,36.66
Mirpur Slum 3,ORF1ab,
korail slum 1,ORF1ab,37.58
korail slum 2,ORF1ab,
korail slum 3,ORF1ab,37.41
Kurmitola General Hospital,ORF1ab,
Kurmitola General Hospital,ORF1ab,33.34
Kurmitola General Hospital,ORF1ab,34.37
Mugdha Medical College and Hospital,ORF1ab,32.12
Mugdha Medical College and Hospital,ORF1ab,
Mugdha Medical College and Hospital,ORF1ab,37.41
Kuwait Moitri Hospital,ORF1ab,37.61
kuwait Moitri Hospital,ORF1ab,
kuwait Moitri Hospital,ORF1ab,37.56
Mohammadpur 1,N,34.12
Mohammadpur 2,N,37.42
Mohammadpur 3,N,37.41
Mirpur Slum 1,N,37.48
Mirpur Slum 2,N,35.44
Mirpur Slum 3,N,
korail slum 1,N,37.42
korail slum 2,N,37.42
korail slum 3,N,34.42
Kurmitola General Hospital,N,35.42
Kurmitola General Hospital,N,36.37
Kurmitola General Hospital,N,
Mugdha Medical College and Hospital,N,37.24
Mugdha Medical College and Hospital,N,33.11
Mugdha Medical College and Hospital,N,36.44
Kuwait Moitri Hospital,N,36.45
kuwait Moitri Hospital,N,33.37
kuwait Moitri Hospital,N,36.2
