Division,Gene,Ct
Mymensing,IC,
Sylhet,IC,37.09
Rajshahi,IC,
Rangpur,IC,
Gaibandha,IC,25.45
Barisal,IC,35.4
Chittagong,IC,32.28
Khulna,IC,36.13
Cox's Bazar ,IC,34.72
comilla,IC,34.13
Kishorgonj,IC,37.28
Brahmonbaria,IC,34.32
Habigonj,IC,36.29
Mymensing,ORF1ab,
Sylhet,ORF1ab,37.21
Rajshahi,ORF1ab,36.49
Rangpur,ORF1ab,36.05
Gaibandha,ORF1ab,
Barisal,ORF1ab,33.2
Chittagong,ORF1ab,26.14
Khulna,ORF1ab,34.35
Cox's Bazar ,ORF1ab,33.36
comilla,ORF1ab,36.8
Kishorgonj,ORF1ab,
Brahmonbaria,ORF1ab,37.38
Habigonj,ORF1ab,
Mymensing,N,
Sylhet,N,
Rajshahi,N,34.13
Rangpur,N,29.5
Gaibandha,N,34.48
Barisal,N,32.6
Chittagong,N,26.28
Khulna,N,35.17
Cox's Bazar ,N,37.4
comilla,N,38.12
Kishorgonj,N,36.48
Brahmonbaria,N,
Habigonj,N,
