Districts,1st ORF1ab,2nd ORF1ab,1st N,2nd N,1st Cases,2nd Cases
Mymensing,5.024818445,5.159485379,5.084661341,5.759521837,18,5
Sylhet,6.526836647,6.296191946,5.875947778,5.776969928,20,8
Rajshahi,5.816450202,5.70924526,5.024818445,5.900220788,26,13
Rangpur,6.887054378,6.035183421,5.735110683,5.893734273,8,5
Gaibandha,7.442322956,5.080279706,7.43806745,5.893734273,7,4
Dhaka,5.128751021,5.762478967,6.275589306,5.084661341,1268,480
Barisal,5.159485379,6.23987407,7.07371835,5.080279706,19,13
Chittagong,6.974050903,5.044062872,5.024818445,6.374253298,208,94
Khulna,6.497788094,6.275589306,5.128751021,5.128751021,10,10
Cox's Bazar ,5.099255114,6.210251885,5.099255114,5.099255114,10,8
Comilla,5.159485379,5.504519957,5.753546476,5.076754008,31,12
Kishorgonj,6.484950935,5.527898771,5.080279706,5.895734728,8,9
Brahmobaria,5.719126192,6.136958191,5.084661341,5.099255114,2,3
Habigonj,5.764267242,4.954738287,5.586923809,5.771231434,4,2
,,,,,,
Districts,1st ORF1ab,2nd ORF1ab,1st N,2nd N,1st Cases,2nd Cases
Mymensing,5.024818445,5.159485379,5.084661341,5.759521837,18,5
Sylhet,6.526836647,6.296191946,5.875947778,5.776969928,20,8
Rajshahi,5.816450202,5.70924526,5.024818445,5.900220788,26,13
Rangpur,6.887054378,6.035183421,5.735110683,5.893734273,8,5
Gaibandha,7.442322956,5.080279706,7.43806745,5.893734273,7,4
Barisal,5.159485379,6.23987407,7.07371835,5.080279706,19,13
Khulna,6.497788094,6.275589306,5.128751021,5.128751021,10,10
Cox's Bazar ,5.099255114,6.210251885,5.099255114,5.099255114,10,8
Comilla,5.159485379,5.504519957,5.753546476,5.076754008,31,12
Kishorgonj,6.484950935,5.527898771,5.080279706,5.895734728,8,9
Brahmobaria,5.719126192,6.136958191,5.084661341,5.099255114,2,3
Habigonj,5.764267242,4.954738287,5.586923809,5.771231434,4,2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Districts,1st ORF1ab,2nd ORF1ab,1st N,2nd N,1st Cases,2nd Cases
Dhaka,5.128751021,5.762478967,6.275589306,5.084661341,1268,480
Chittagong,6.974050903,5.044062872,5.024818445,6.374253298,208,94
