Division,Gene,Ct
Mymensing,Cy5(1),
Sylhet,Cy5(1),
Rajshahi,Cy5(1),35.57
Rangpur,Cy5(1),
Gaibandha (SKS),Cy5(1),35.48
Barisal,Cy5(1),36
Chittagong,Cy5(1),
Khulna,Cy5(1),37.94
Cox's Bazar ,Cy5(1),
Comilla,Cy5(1),32.49
Kishorgonj,Cy5(1),36.49
Brahmonbaria,Cy5(1),
Habigonj,Cy5(1),
Mymensing,FAM(1),
Sylhet,FAM(1),34.13
Rajshahi,FAM(1),37.03
Rangpur,FAM(1),32.91
Gaibandha (SKS),FAM(1),30.69
Barisal,FAM(1),
Chittagong,FAM(1),32.72
Khulna,FAM(1),34.32
Cox's Bazar ,FAM(1),
Comilla,FAM(1),
Kishorgonj,FAM(1),34.4
Brahmonbaria,FAM(1),37.7
Habigonj,FAM(1),
Mymensing,Rox(1),34.1
Sylhet,Rox(1),36.54
Rajshahi,Rox(1),
Rangpur,Rox(1),37.6
Gaibandha (SKS),Rox(1),30.72
Barisal,Rox(1),32.45
Chittagong,Rox(1),35.71
Khulna,Rox(1),
Cox's Bazar ,Rox(1),
Comilla,Rox(1),37.48
Kishorgonj,Rox(1),
Brahmonbaria,Rox(1),
Habigonj,Rox(1),
