Station,Gene,Ct
Pipenetwork,IC,38.1
Sludge Outlet,IC,38.43
Lagoon-2,IC,38.3
Lagoon-1,IC,37.67
Lagoon-1,IC,36.74
Digest Bed-1,IC,37.74
Upflow filter,IC,37.54
Outlet trickling filter,IC,36.31
Maturation Pond,IC,38.61
Lime treated discharge,IC,39.31
Drinking Water tubewell fresh water,IC,36.97
Bathing outlet,IC,36.37
Patient sample,IC,36.29
Primary Health outlet,IC,
Community used wastewater common sewer,IC,32.27
Outlet from all community use,IC,
Community Drinking water ,IC,34.58
Hospital (PHD)Outlet,IC,37.38
Camp 4 outlet,IC,35.15
Camp 8 outlet,IC,37.52
8 East Camp Community Drain Discharge,IC,39.12
Waste from a local shop,IC,
Drain outlet,IC,27.88
Local Shop,IC,38.49
Local Shop,IC,37.8
Pipenetwork,ORF1ab,38.11
Sludge Outlet,ORF1ab,39.37
Lagoon-2,ORF1ab,37.89
Lagoon-1,ORF1ab,38.15
Lagoon-1,ORF1ab,37.29
Digest Bed-1,ORF1ab,37.81
Upflow filter,ORF1ab,38.34
Outlet trickling filter,ORF1ab,38.12
Maturation Pond,ORF1ab,
Lime treated discharge,ORF1ab,
Drinking Water tubewell fresh water,ORF1ab,33.41
Bathing outlet,ORF1ab,35.69
Patient sample,ORF1ab,36.09
Primary Health outlet,ORF1ab,
Community used wastewater common sewer,ORF1ab,36.43
Outlet from all community use,ORF1ab,36
Community Drinking water ,ORF1ab,38.96
Hospital (PHD)Outlet,ORF1ab,36.12
Camp 4 outlet,ORF1ab,
Camp 8 outlet,ORF1ab,33.14
8 East Camp Community Drain Discharge,ORF1ab,
Waste from a local shop,ORF1ab,
Drain outlet,ORF1ab,34.32
Local Shop,ORF1ab,34.27
Local Shop,ORF1ab,36.32
Pipenetwork,N,38.53
Sludge Outlet,N,
Lagoon-2,N,
Lagoon-1,N,
Lagoon-1,N,
Digest Bed-1,N,40.85
Upflow filter,N,
Outlet trickling filter,N,
Maturation Pond,N,
Lime treated discharge,N,
Drinking Water tubewell fresh water,N,29.61
Bathing outlet,N,32.69
Patient sample,N,36.79
Primary Health outlet,N,36
Community used wastewater common sewer,N,37.96
Outlet from all community use,N,
Community Drinking water ,N,35.57
Hospital (PHD)Outlet,N,39.08
Camp 4 outlet,N,37.65
Camp 8 outlet,N,
8 East Camp Community Drain Discharge,N,36.49
Waste from a local shop,N,38.73
Drain outlet,N,
Local Shop,N,
Local Shop,N,39.23
