Division,Gene,Ct
Mymensing,IC,
Sylhet,IC,
Rajshahi,IC,
Rangpur,IC,
Gaibandha,IC,38.96
Barisal,IC,39.48
Chittagong,IC,28.18
Khulna,IC,
Cox's Bazar ,IC,38.4
Comilla,IC,32.52
Kishorgonj,IC,37.58
Brahmonbaria,IC,
Habigonj,IC,
Mymensing,ORF1ab,37.12
Sylhet,ORF1ab,36.12
Rajshahi,ORF1ab,38.2
Rangpur,ORF1ab,37.65
Gaibandha,ORF1ab,32.08
Barisal,ORF1ab,37.4
Chittagong,ORF1ab,34.83
Khulna,ORF1ab,37.33
Cox's Bazar ,ORF1ab,
Comilla,ORF1ab,37.48
Kishorgonj,ORF1ab,38.4
Brahmonbaria,ORF1ab,37.4
Habigonj,ORF1ab,36.49
Mymensing,N,35.47
Sylhet,N,37.36
Rajshahi,N,36.4
Rangpur,N,
Gaibandha,N,36.8
Barisal,N,35.21
Chittagong,N,33.37
Khulna,N,38.75
Cox's Bazar ,N,37.48
Comilla,N,35.56
Kishorgonj,N,
Brahmonbaria,N,32.34
Habigonj,N,34.12
